t_start,duration,offset,t_local,state
1.0,19.0,23.0,113.0,rrrrrrggggrrrrrrgggg
20.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
23.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
118.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
121.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
127.0,26.0,21.0,106.0,rrrrrrggggrrrrrrgggg
153.0,3.0,21.0,132.0,rrrrrryyyyrrrrrryyyy
156.0,85.0,21.0,0.0,ggggggrrrrggggggrrrr
241.0,3.0,21.0,85.0,yyyyyyrrrryyyyyyrrrr
244.0,6.0,21.0,88.0,rrrrrrrrrrrrrrrrrrrr
250.0,36.0,19.0,96.0,rrrrrrggggrrrrrrgggg
286.0,3.0,19.0,132.0,rrrrrryyyyrrrrrryyyy
289.0,85.0,19.0,0.0,ggggggrrrrggggggrrrr
374.0,3.0,19.0,85.0,yyyyyyrrrryyyyyyrrrr
377.0,6.0,19.0,88.0,rrrrrrrrrrrrrrrrrrrr
383.0,36.0,17.0,96.0,rrrrrrggggrrrrrrgggg
419.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
422.0,85.0,17.0,0.0,ggggggrrrrggggggrrrr
507.0,3.0,17.0,85.0,yyyyyyrrrryyyyyyrrrr
510.0,6.0,17.0,88.0,rrrrrrrrrrrrrrrrrrrr
516.0,36.0,15.0,96.0,rrrrrrggggrrrrrrgggg
552.0,3.0,15.0,132.0,rrrrrryyyyrrrrrryyyy
555.0,85.0,15.0,0.0,ggggggrrrrggggggrrrr
640.0,3.0,15.0,85.0,yyyyyyrrrryyyyyyrrrr
643.0,6.0,15.0,88.0,rrrrrrrrrrrrrrrrrrrr
649.0,36.0,13.0,96.0,rrrrrrggggrrrrrrgggg
685.0,3.0,13.0,132.0,rrrrrryyyyrrrrrryyyy
688.0,85.0,13.0,0.0,ggggggrrrrggggggrrrr
773.0,3.0,13.0,85.0,yyyyyyrrrryyyyyyrrrr
776.0,6.0,13.0,88.0,rrrrrrrrrrrrrrrrrrrr
782.0,36.0,11.0,96.0,rrrrrrggggrrrrrrgggg
818.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
821.0,85.0,11.0,0.0,ggggggrrrrggggggrrrr
906.0,3.0,11.0,85.0,yyyyyyrrrryyyyyyrrrr
909.0,6.0,11.0,88.0,rrrrrrrrrrrrrrrrrrrr
915.0,37.0,9.891812791895035,95.10818720810494,rrrrrrggggrrrrrrgggg
952.0,3.0,9.891812791895035,132.10818720810494,rrrrrryyyyrrrrrryyyy
955.0,85.0,9.891812791895035,0.10818720810493687,ggggggrrrrggggggrrrr
1040.0,3.0,9.891812791895035,85.10818720810494,yyyyyyrrrryyyyyyrrrr
1043.0,6.0,9.891812791895035,88.10818720810494,rrrrrrrrrrrrrrrrrrrr
1049.0,38.0,9.891812791895035,94.10818720810494,rrrrrrggggrrrrrrgggg
1087.0,3.0,9.891812791895035,132.10818720810494,rrrrrryyyyrrrrrryyyy
1090.0,85.0,9.891812791895035,0.10818720810493687,ggggggrrrrggggggrrrr
1175.0,3.0,9.891812791895035,85.10818720810494,yyyyyyrrrryyyyyyrrrr
1178.0,6.0,9.891812791895035,88.10818720810494,rrrrrrrrrrrrrrrrrrrr
1184.0,38.0,9.891812791895035,94.10818720810494,rrrrrrggggrrrrrrgggg
1222.0,3.0,9.891812791895035,132.10818720810494,rrrrrryyyyrrrrrryyyy
1225.0,85.0,9.891812791895035,0.10818720810493687,ggggggrrrrggggggrrrr
1310.0,3.0,9.891812791895035,85.10818720810494,yyyyyyrrrryyyyyyrrrr
1313.0,6.0,9.891812791895035,88.10818720810494,rrrrrrrrrrrrrrrrrrrr
1319.0,39.0,10.363888015523628,93.63611198447643,rrrrrrggggrrrrrrgggg
1358.0,3.0,10.363888015523628,132.63611198447643,rrrrrryyyyrrrrrryyyy
1361.0,85.0,10.363888015523628,0.6361119844764289,ggggggrrrrggggggrrrr
1446.0,3.0,10.363888015523628,85.63611198447643,yyyyyyrrrryyyyyyrrrr
1449.0,6.0,10.363888015523628,88.63611198447643,rrrrrrrrrrrrrrrrrrrr
1455.0,38.0,10.363888015523628,94.63611198447643,rrrrrrggggrrrrrrgggg
1493.0,3.0,10.363888015523628,132.63611198447643,rrrrrryyyyrrrrrryyyy
1496.0,85.0,10.363888015523628,0.6361119844764289,ggggggrrrrggggggrrrr
1581.0,3.0,10.363888015523628,85.63611198447643,yyyyyyrrrryyyyyyrrrr
1584.0,6.0,10.363888015523628,88.63611198447643,rrrrrrrrrrrrrrrrrrrr
1590.0,38.0,10.363888015523628,94.63611198447643,rrrrrrggggrrrrrrgggg
1628.0,3.0,10.363888015523628,132.63611198447643,rrrrrryyyyrrrrrryyyy
1631.0,85.0,10.363888015523628,0.6361119844764289,ggggggrrrrggggggrrrr
1716.0,3.0,10.363888015523628,85.63611198447643,yyyyyyrrrryyyyyyrrrr
1719.0,6.0,10.363888015523628,88.63611198447643,rrrrrrrrrrrrrrrrrrrr
1725.0,38.0,10.363888015523628,94.63611198447643,rrrrrrggggrrrrrrgggg
1763.0,3.0,10.363888015523628,132.63611198447643,rrrrrryyyyrrrrrryyyy
1766.0,85.0,10.363888015523628,0.6361119844764289,ggggggrrrrggggggrrrr
1851.0,3.0,10.363888015523628,85.63611198447643,yyyyyyrrrryyyyyyrrrr
1854.0,6.0,10.363888015523628,88.63611198447643,rrrrrrrrrrrrrrrrrrrr
1860.0,38.0,10.375740904671858,94.62425909532817,rrrrrrggggrrrrrrgggg
1898.0,3.0,10.375740904671858,132.62425909532817,rrrrrryyyyrrrrrryyyy
1901.0,85.0,10.375740904671858,0.6242590953281706,ggggggrrrrggggggrrrr
1986.0,3.0,10.375740904671858,85.62425909532817,yyyyyyrrrryyyyyyrrrr
1989.0,6.0,10.375740904671858,88.62425909532817,rrrrrrrrrrrrrrrrrrrr
1995.0,38.0,10.375740904671858,94.62425909532817,rrrrrrggggrrrrrrgggg
2033.0,3.0,10.375740904671858,132.62425909532817,rrrrrryyyyrrrrrryyyy
2036.0,85.0,10.375740904671858,0.6242590953281706,ggggggrrrrggggggrrrr
2121.0,3.0,10.375740904671858,85.62425909532794,yyyyyyrrrryyyyyyrrrr
2124.0,6.0,10.375740904671858,88.62425909532794,rrrrrrrrrrrrrrrrrrrr
2130.0,38.0,10.375740904671858,94.62425909532794,rrrrrrggggrrrrrrgggg
2168.0,3.0,10.375740904671858,132.62425909532794,rrrrrryyyyrrrrrryyyy
2171.0,85.0,10.375740904671858,0.6242590953279432,ggggggrrrrggggggrrrr
2256.0,3.0,10.375740904671858,85.62425909532794,yyyyyyrrrryyyyyyrrrr
2259.0,6.0,10.375740904671858,88.62425909532794,rrrrrrrrrrrrrrrrrrrr
2265.0,38.0,10.375740904671858,94.62425909532794,rrrrrrggggrrrrrrgggg
2303.0,3.0,10.375740904671858,132.62425909532794,rrrrrryyyyrrrrrryyyy
2306.0,85.0,10.375740904671858,0.6242590953279432,ggggggrrrrggggggrrrr
2391.0,3.0,10.375740904671858,85.62425909532794,yyyyyyrrrryyyyyyrrrr
2394.0,6.0,10.375740904671858,88.62425909532794,rrrrrrrrrrrrrrrrrrrr
2400.0,38.0,10.40544452483887,94.59455547516109,rrrrrrggggrrrrrrgggg
2438.0,3.0,10.40544452483887,132.5945554751611,rrrrrryyyyrrrrrryyyy
2441.0,85.0,10.40544452483887,0.5945554751610871,ggggggrrrrggggggrrrr
2526.0,3.0,10.40544452483887,85.59455547516109,yyyyyyrrrryyyyyyrrrr
2529.0,6.0,10.40544452483887,88.59455547516109,rrrrrrrrrrrrrrrrrrrr
2535.0,38.0,10.40544452483887,94.59455547516109,rrrrrrggggrrrrrrgggg
2573.0,3.0,10.40544452483887,132.5945554751611,rrrrrryyyyrrrrrryyyy
2576.0,85.0,10.40544452483887,0.5945554751610871,ggggggrrrrggggggrrrr
2661.0,3.0,10.40544452483887,85.59455547516109,yyyyyyrrrryyyyyyrrrr
2664.0,6.0,10.40544452483887,88.59455547516109,rrrrrrrrrrrrrrrrrrrr
2670.0,38.0,10.40544452483887,94.59455547516109,rrrrrrggggrrrrrrgggg
2708.0,3.0,10.40544452483887,132.5945554751611,rrrrrryyyyrrrrrryyyy
2711.0,85.0,10.40544452483887,0.5945554751610871,ggggggrrrrggggggrrrr
2796.0,3.0,10.40544452483887,85.59455547516109,yyyyyyrrrryyyyyyrrrr
2799.0,6.0,10.40544452483887,88.59455547516109,rrrrrrrrrrrrrrrrrrrr
2805.0,38.0,10.40544452483887,94.59455547516109,rrrrrrggggrrrrrrgggg
2843.0,3.0,10.40544452483887,132.5945554751611,rrrrrryyyyrrrrrryyyy
2846.0,85.0,10.40544452483887,0.5945554751610871,ggggggrrrrggggggrrrr
2931.0,3.0,10.40544452483887,85.59455547516109,yyyyyyrrrryyyyyyrrrr
2934.0,6.0,10.40544452483887,88.59455547516109,rrrrrrrrrrrrrrrrrrrr
2940.0,38.0,10.40544452483887,94.59455547516109,rrrrrrggggrrrrrrgggg
2978.0,3.0,10.40544452483887,132.5945554751611,rrrrrryyyyrrrrrryyyy
2981.0,85.0,10.40544452483887,0.5945554751610871,ggggggrrrrggggggrrrr
3066.0,3.0,10.40544452483887,85.59455547516109,yyyyyyrrrryyyyyyrrrr
3069.0,6.0,10.40544452483887,88.59455547516109,rrrrrrrrrrrrrrrrrrrr
3075.0,38.0,10.409577689076741,94.59042231092326,rrrrrrggggrrrrrrgggg
3113.0,3.0,10.409577689076741,132.59042231092326,rrrrrryyyyrrrrrryyyy
3116.0,85.0,10.409577689076741,0.5904223109232589,ggggggrrrrggggggrrrr
3201.0,3.0,10.409577689076741,85.59042231092326,yyyyyyrrrryyyyyyrrrr
3204.0,6.0,10.409577689076741,88.59042231092326,rrrrrrrrrrrrrrrrrrrr
3210.0,38.0,10.409577689076741,94.59042231092326,rrrrrrggggrrrrrrgggg
3248.0,3.0,10.409577689076741,132.59042231092326,rrrrrryyyyrrrrrryyyy
3251.0,85.0,10.409577689076741,0.5904223109232589,ggggggrrrrggggggrrrr
3336.0,3.0,10.409577689076741,85.59042231092326,yyyyyyrrrryyyyyyrrrr
3339.0,6.0,10.409577689076741,88.59042231092326,rrrrrrrrrrrrrrrrrrrr
3345.0,38.0,10.409577689076741,94.59042231092326,rrrrrrggggrrrrrrgggg
3383.0,3.0,10.409577689076741,132.59042231092326,rrrrrryyyyrrrrrryyyy
3386.0,85.0,10.409577689076741,0.5904223109232589,ggggggrrrrggggggrrrr
3471.0,3.0,10.409577689076741,85.59042231092326,yyyyyyrrrryyyyyyrrrr
3474.0,6.0,10.409577689076741,88.59042231092326,rrrrrrrrrrrrrrrrrrrr
3480.0,38.0,10.409577689076741,94.59042231092326,rrrrrrggggrrrrrrgggg
3518.0,3.0,10.409577689076741,132.59042231092326,rrrrrryyyyrrrrrryyyy
3521.0,85.0,10.409577689076741,0.5904223109232589,ggggggrrrrggggggrrrr
3606.0,3.0,10.409577689076741,85.59042231092326,yyyyyyrrrryyyyyyrrrr
3609.0,6.0,10.409577689076741,88.59042231092326,rrrrrrrrrrrrrrrrrrrr
3615.0,39.0,11.254687403766553,93.74531259623336,rrrrrrggggrrrrrrgggg
3654.0,3.0,11.254687403766553,132.74531259623336,rrrrrryyyyrrrrrryyyy
3657.0,85.0,11.254687403766553,0.7453125962333615,ggggggrrrrggggggrrrr
3742.0,3.0,11.254687403766553,85.74531259623336,yyyyyyrrrryyyyyyrrrr
3745.0,6.0,11.254687403766553,88.74531259623336,rrrrrrrrrrrrrrrrrrrr
3751.0,38.0,11.254687403766553,94.74531259623336,rrrrrrggggrrrrrrgggg
3789.0,3.0,11.254687403766553,132.74531259623336,rrrrrryyyyrrrrrryyyy
3792.0,85.0,11.254687403766553,0.7453125962333615,ggggggrrrrggggggrrrr
