t_start,duration,offset,t_local,state
1.0,43.0,47.0,89.0,gggggrrrrrrrgggggrrrrrrr
44.0,3.0,47.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
47.0,22.0,47.0,0.0,rrrrrrrrrrrrggggggrrrrrr
69.0,3.0,47.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
72.0,17.0,47.0,25.0,rrrrrrggggggrrrrrrgggggg
89.0,3.0,47.0,42.0,rrrrrrggggggrrrrrryyyyyy
92.0,12.0,47.0,45.0,rrrrrrggggggrrrrrrrrrrrr
104.0,3.0,47.0,57.0,rrrrrryyyyyyrrrrrrrrrrrr
107.0,21.0,47.0,60.0,ggggggrrrrrrrrrrrrrrrrrr
128.0,3.0,47.0,81.0,gggggyrrrrrrrrrrrrrrrrrr
131.0,3.0,47.0,84.0,gggggrrrrrrrrrrrrrrrrrrr
134.0,51.0,53.0,81.0,gggggrrrrrrrgggggrrrrrrr
185.0,3.0,53.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
188.0,22.0,53.0,0.0,rrrrrrrrrrrrggggggrrrrrr
210.0,3.0,53.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
213.0,12.0,53.0,25.0,rrrrrrggggggrrrrrrgggggg
225.0,3.0,53.0,37.0,rrrrrrggggggrrrrrryyyyyy
228.0,12.0,53.0,40.0,rrrrrrggggggrrrrrrrrrrrr
240.0,3.0,53.0,52.0,rrrrrryyyyyyrrrrrrrrrrrr
243.0,21.0,53.0,55.0,ggggggrrrrrrrrrrrrrrrrrr
264.0,3.0,53.0,76.0,gggggyrrrrrrrrrrrrrrrrrr
267.0,3.0,59.0,73.0,gggggrrrrrrrrrrrrrrrrrrr
270.0,3.0,59.0,76.0,gggggyrrrrrrrrrrrrrrrrrr
273.0,3.0,59.0,79.0,gggggrrrrrrrrrrrrrrrrrrr
276.0,50.0,59.0,82.0,gggggrrrrrrrgggggrrrrrrr
326.0,3.0,59.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
329.0,22.0,59.0,0.0,rrrrrrrrrrrrggggggrrrrrr
351.0,3.0,59.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
354.0,12.0,59.0,25.0,rrrrrrggggggrrrrrrgggggg
366.0,3.0,59.0,37.0,rrrrrrggggggrrrrrryyyyyy
369.0,12.0,59.0,40.0,rrrrrrggggggrrrrrrrrrrrr
381.0,3.0,59.0,52.0,rrrrrryyyyyyrrrrrrrrrrrr
384.0,27.0,65.0,49.0,ggggggrrrrrrrrrrrrrrrrrr
411.0,3.0,65.0,76.0,gggggyrrrrrrrrrrrrrrrrrr
414.0,3.0,65.0,79.0,gggggrrrrrrrrrrrrrrrrrrr
417.0,50.0,65.0,82.0,gggggrrrrrrrgggggrrrrrrr
467.0,3.0,65.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
470.0,22.0,65.0,0.0,rrrrrrrrrrrrggggggrrrrrr
492.0,3.0,65.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
495.0,12.0,65.0,25.0,rrrrrrggggggrrrrrrgggggg
507.0,3.0,65.0,37.0,rrrrrrggggggrrrrrryyyyyy
510.0,12.0,65.0,40.0,rrrrrrggggggrrrrrrrrrrrr
522.0,3.0,65.0,52.0,rrrrrryyyyyyrrrrrrrrrrrr
525.0,22.0,65.83269190281605,54.167308097183934,ggggggrrrrrrrrrrrrrrrrrr
547.0,3.0,65.83269190281605,76.16730809718393,gggggyrrrrrrrrrrrrrrrrrr
550.0,3.0,65.83269190281605,79.16730809718393,gggggrrrrrrrrrrrrrrrrrrr
553.0,50.0,65.83269190281605,82.16730809718393,gggggrrrrrrrgggggrrrrrrr
603.0,3.0,65.83269190281605,132.167308097184,yyyyyrrrrrrrgggggrrrrrrr
606.0,22.0,65.83269190281605,0.16730809718399087,rrrrrrrrrrrrggggggrrrrrr
628.0,3.0,65.83269190281605,22.16730809718399,rrrrrrrrrrrryyyyyyrrrrrr
631.0,12.0,65.83269190281605,25.16730809718399,rrrrrrggggggrrrrrrgggggg
643.0,3.0,65.83269190281605,37.16730809718399,rrrrrrggggggrrrrrryyyyyy
646.0,12.0,65.83269190281605,40.16730809718399,rrrrrrggggggrrrrrrrrrrrr
658.0,3.0,65.83269190281605,52.16730809718399,rrrrrryyyyyyrrrrrrrrrrrr
