t_start,duration,offset,t_local,state
1.0,27.0,0.0,1.0,ggggggrrrrggggggrrrr
28.0,3.0,0.0,28.0,yyyyyyrrrryyyyyyrrrr
31.0,10.0,0.0,31.0,rrrrrrrrrrrrrrrrrrrr
41.0,54.0,0.0,41.0,rrrrrrggggrrrrrrgggg
95.0,3.0,0.0,95.0,rrrrrryyyyrrrrrryyyy
98.0,69.0,0.0,98.0,ggggggrrrrggggggrrrr
167.0,3.0,0.0,32.0,yyyyyyrrrryyyyyyrrrr
170.0,10.0,0.0,35.0,rrrrrrrrrrrrrrrrrrrr
180.0,54.0,0.0,45.0,rrrrrrggggrrrrrrgggg
234.0,3.0,0.0,99.0,rrrrrryyyyrrrrrryyyy
237.0,69.0,0.0,102.0,ggggggrrrrggggggrrrr
306.0,3.0,0.0,36.0,yyyyyyrrrryyyyyyrrrr
309.0,10.0,0.0,39.0,rrrrrrrrrrrrrrrrrrrr
319.0,54.0,0.0,49.0,rrrrrrggggrrrrrrgggg
373.0,3.0,0.0,103.0,rrrrrryyyyrrrrrryyyy
376.0,69.0,0.0,106.0,ggggggrrrrggggggrrrr
445.0,3.0,0.0,40.0,yyyyyyrrrryyyyyyrrrr
448.0,10.0,0.0,43.0,rrrrrrrrrrrrrrrrrrrr
458.0,54.0,0.0,53.0,rrrrrrggggrrrrrrgggg
512.0,3.0,0.0,107.0,rrrrrryyyyrrrrrryyyy
515.0,69.0,0.0,110.0,ggggggrrrrggggggrrrr
584.0,3.0,0.0,44.0,yyyyyyrrrryyyyyyrrrr
587.0,10.0,0.0,47.0,rrrrrrrrrrrrrrrrrrrr
597.0,54.0,0.0,57.0,rrrrrrggggrrrrrrgggg
651.0,3.0,0.0,111.0,rrrrrryyyyrrrrrryyyy
654.0,69.0,0.0,114.0,ggggggrrrrggggggrrrr
723.0,3.0,0.0,48.0,yyyyyyrrrryyyyyyrrrr
726.0,10.0,0.0,51.0,rrrrrrrrrrrrrrrrrrrr
736.0,54.0,0.0,61.0,rrrrrrggggrrrrrrgggg
790.0,3.0,0.0,115.0,rrrrrryyyyrrrrrryyyy
793.0,69.0,0.0,118.0,ggggggrrrrggggggrrrr
862.0,3.0,0.0,52.0,yyyyyyrrrryyyyyyrrrr
865.0,10.0,0.0,55.0,rrrrrrrrrrrrrrrrrrrr
875.0,54.0,0.0,65.0,rrrrrrggggrrrrrrgggg
929.0,3.0,0.0,119.0,rrrrrryyyyrrrrrryyyy
932.0,69.0,0.0,122.0,ggggggrrrrggggggrrrr
1001.0,3.0,0.0,56.0,yyyyyyrrrryyyyyyrrrr
