t_start,duration,offset,t_local,state
1.0,5.0,0.0,1.0,rrrrrrgggggrrrrrggggg
6.0,3.0,0.0,6.0,rrrrrrggyygrrrrryyyyy
9.0,22.0,0.0,9.0,ggggggggrrgrrrrrrrrrr
31.0,3.0,0.0,31.0,ggggyyyyrrgrrrrrrrrrr
34.0,28.0,0.0,34.0,ggggrrrrrrggggrrrrrrr
62.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
65.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
86.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
89.0,50.0,0.0,89.0,rrrrrrgggggrrrrrggggg
139.0,3.0,0.0,4.0,rrrrrrggyygrrrrryyyyy
142.0,22.0,0.0,7.0,ggggggggrrgrrrrrrrrrr
164.0,3.0,0.0,29.0,ggggyyyyrrgrrrrrrrrrr
167.0,28.0,0.0,32.0,ggggrrrrrrggggrrrrrrr
195.0,3.0,0.0,60.0,yyyyrrrrrrggggrrrrrrr
198.0,21.0,0.0,63.0,rrrrrrrrrrggggggrrrrr
219.0,3.0,0.0,84.0,rrrrrrrrrrgyyyyyrrrrr
222.0,50.0,0.0,87.0,rrrrrrgggggrrrrrggggg
272.0,3.0,0.0,2.0,rrrrrrggyygrrrrryyyyy
275.0,22.0,0.0,5.0,ggggggggrrgrrrrrrrrrr
297.0,3.0,0.0,27.0,ggggyyyyrrgrrrrrrrrrr
300.0,28.0,0.0,30.0,ggggrrrrrrggggrrrrrrr
328.0,3.0,0.0,58.0,yyyyrrrrrrggggrrrrrrr
331.0,21.0,0.0,61.0,rrrrrrrrrrggggggrrrrr
352.0,3.0,0.0,82.0,rrrrrrrrrrgyyyyyrrrrr
355.0,50.0,0.0,85.0,rrrrrrgggggrrrrrggggg
405.0,3.0,0.0,0.0,rrrrrrggyygrrrrryyyyy
408.0,22.0,0.0,3.0,ggggggggrrgrrrrrrrrrr
430.0,3.0,0.0,25.0,ggggyyyyrrgrrrrrrrrrr
433.0,28.0,0.0,28.0,ggggrrrrrrggggrrrrrrr
461.0,3.0,0.0,56.0,yyyyrrrrrrggggrrrrrrr
464.0,21.0,0.0,59.0,rrrrrrrrrrggggggrrrrr
485.0,3.0,0.0,80.0,rrrrrrrrrrgyyyyyrrrrr
488.0,50.0,0.0,83.0,rrrrrrgggggrrrrrggggg
538.0,3.0,0.0,133.0,rrrrrrggyygrrrrryyyyy
541.0,22.0,0.0,1.0,ggggggggrrgrrrrrrrrrr
563.0,3.0,0.0,23.0,ggggyyyyrrgrrrrrrrrrr
566.0,28.0,0.0,26.0,ggggrrrrrrggggrrrrrrr
594.0,3.0,0.0,54.0,yyyyrrrrrrggggrrrrrrr
597.0,21.0,0.0,57.0,rrrrrrrrrrggggggrrrrr
618.0,3.0,0.0,78.0,rrrrrrrrrrgyyyyyrrrrr
621.0,50.0,0.0,81.0,rrrrrrgggggrrrrrggggg
671.0,3.0,0.0,131.0,rrrrrrggyygrrrrryyyyy
674.0,22.0,0.0,134.0,ggggggggrrgrrrrrrrrrr
696.0,3.0,0.0,21.0,ggggyyyyrrgrrrrrrrrrr
699.0,28.0,0.0,24.0,ggggrrrrrrggggrrrrrrr
727.0,3.0,0.0,52.0,yyyyrrrrrrggggrrrrrrr
730.0,21.0,0.0,55.0,rrrrrrrrrrggggggrrrrr
751.0,3.0,0.0,76.0,rrrrrrrrrrgyyyyyrrrrr
754.0,50.0,0.0,79.0,rrrrrrgggggrrrrrggggg
804.0,3.0,0.0,129.0,rrrrrrggyygrrrrryyyyy
807.0,22.0,0.0,132.0,ggggggggrrgrrrrrrrrrr
829.0,3.0,0.0,19.0,ggggyyyyrrgrrrrrrrrrr
832.0,28.0,0.0,22.0,ggggrrrrrrggggrrrrrrr
860.0,3.0,0.0,50.0,yyyyrrrrrrggggrrrrrrr
863.0,21.0,0.0,53.0,rrrrrrrrrrggggggrrrrr
884.0,3.0,0.0,74.0,rrrrrrrrrrgyyyyyrrrrr
887.0,50.0,0.0,77.0,rrrrrrgggggrrrrrggggg
937.0,3.0,0.0,127.0,rrrrrrggyygrrrrryyyyy
940.0,22.0,0.0,130.0,ggggggggrrgrrrrrrrrrr
962.0,3.0,0.0,17.0,ggggyyyyrrgrrrrrrrrrr
965.0,28.0,0.0,20.0,ggggrrrrrrggggrrrrrrr
993.0,3.0,0.0,48.0,yyyyrrrrrrggggrrrrrrr
996.0,21.0,0.0,51.0,rrrrrrrrrrggggggrrrrr
1017.0,3.0,0.0,72.0,rrrrrrrrrrgyyyyyrrrrr
1020.0,50.0,0.0,75.0,rrrrrrgggggrrrrrggggg
1070.0,3.0,0.0,125.0,rrrrrrggyygrrrrryyyyy
1073.0,22.0,0.0,128.0,ggggggggrrgrrrrrrrrrr
1095.0,3.0,0.0,15.0,ggggyyyyrrgrrrrrrrrrr
1098.0,28.0,0.0,18.0,ggggrrrrrrggggrrrrrrr
1126.0,3.0,0.0,46.0,yyyyrrrrrrggggrrrrrrr
1129.0,21.0,0.0,49.0,rrrrrrrrrrggggggrrrrr
1150.0,3.0,0.0,70.0,rrrrrrrrrrgyyyyyrrrrr
1153.0,50.0,0.0,73.0,rrrrrrgggggrrrrrggggg
1203.0,3.0,0.0,123.0,rrrrrrggyygrrrrryyyyy
1206.0,22.0,0.0,126.0,ggggggggrrgrrrrrrrrrr
1228.0,3.0,0.0,13.0,ggggyyyyrrgrrrrrrrrrr
1231.0,28.0,0.0,16.0,ggggrrrrrrggggrrrrrrr
1259.0,3.0,0.0,44.0,yyyyrrrrrrggggrrrrrrr
1262.0,21.0,0.0,47.0,rrrrrrrrrrggggggrrrrr
1283.0,3.0,0.0,68.0,rrrrrrrrrrgyyyyyrrrrr
1286.0,50.0,0.0,71.0,rrrrrrgggggrrrrrggggg
1336.0,3.0,0.0,121.0,rrrrrrggyygrrrrryyyyy
1339.0,22.0,0.0,124.0,ggggggggrrgrrrrrrrrrr
1361.0,3.0,0.0,11.0,ggggyyyyrrgrrrrrrrrrr
1364.0,28.0,0.0,14.0,ggggrrrrrrggggrrrrrrr
1392.0,3.0,0.0,42.0,yyyyrrrrrrggggrrrrrrr
1395.0,21.0,0.0,45.0,rrrrrrrrrrggggggrrrrr
1416.0,3.0,0.0,66.0,rrrrrrrrrrgyyyyyrrrrr
1419.0,50.0,0.0,69.0,rrrrrrgggggrrrrrggggg
1469.0,3.0,0.0,119.0,rrrrrrggyygrrrrryyyyy
1472.0,22.0,0.0,122.0,ggggggggrrgrrrrrrrrrr
1494.0,3.0,0.0,9.0,ggggyyyyrrgrrrrrrrrrr
1497.0,28.0,0.0,12.0,ggggrrrrrrggggrrrrrrr
1525.0,3.0,0.0,40.0,yyyyrrrrrrggggrrrrrrr
1528.0,21.0,0.0,43.0,rrrrrrrrrrggggggrrrrr
1549.0,3.0,0.0,64.0,rrrrrrrrrrgyyyyyrrrrr
1552.0,50.0,0.0,67.0,rrrrrrgggggrrrrrggggg
1602.0,3.0,0.0,117.0,rrrrrrggyygrrrrryyyyy
1605.0,22.0,0.0,120.0,ggggggggrrgrrrrrrrrrr
1627.0,3.0,0.0,7.0,ggggyyyyrrgrrrrrrrrrr
1630.0,28.0,0.0,10.0,ggggrrrrrrggggrrrrrrr
1658.0,3.0,0.0,38.0,yyyyrrrrrrggggrrrrrrr
1661.0,21.0,0.0,41.0,rrrrrrrrrrggggggrrrrr
1682.0,3.0,0.0,62.0,rrrrrrrrrrgyyyyyrrrrr
1685.0,50.0,0.0,65.0,rrrrrrgggggrrrrrggggg
1735.0,3.0,0.0,115.0,rrrrrrggyygrrrrryyyyy
1738.0,22.0,0.0,118.0,ggggggggrrgrrrrrrrrrr
1760.0,3.0,0.0,5.0,ggggyyyyrrgrrrrrrrrrr
1763.0,28.0,0.0,8.0,ggggrrrrrrggggrrrrrrr
1791.0,3.0,0.0,36.0,yyyyrrrrrrggggrrrrrrr
1794.0,21.0,0.0,39.0,rrrrrrrrrrggggggrrrrr
1815.0,3.0,0.0,60.0,rrrrrrrrrrgyyyyyrrrrr
1818.0,50.0,0.0,63.0,rrrrrrgggggrrrrrggggg
1868.0,3.0,0.0,113.0,rrrrrrggyygrrrrryyyyy
