t_start,duration,offset,t_local,state
1.0,19.0,23.0,113.0,rrrrrrggggrrrrrrgggg
20.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
23.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
118.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
121.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
127.0,22.0,17.0,110.0,rrrrrrggggrrrrrrgggg
149.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
152.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
247.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
250.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
256.0,22.0,11.0,110.0,rrrrrrggggrrrrrrgggg
278.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
281.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
376.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
379.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
385.0,22.0,5.0,110.0,rrrrrrggggrrrrrrgggg
407.0,3.0,5.0,132.0,rrrrrryyyyrrrrrryyyy
410.0,95.0,5.0,0.0,ggggggrrrrggggggrrrr
505.0,3.0,5.0,95.0,yyyyyyrrrryyyyyyrrrr
508.0,6.0,5.0,98.0,rrrrrrrrrrrrrrrrrrrr
514.0,26.0,134.0,110.0,rrrrrrggggrrrrrrgggg
540.0,94.0,134.0,1.0,ggggggrrrrggggggrrrr
634.0,3.0,134.0,95.0,yyyyyyrrrryyyyyyrrrr
637.0,6.0,134.0,98.0,rrrrrrrrrrrrrrrrrrrr
643.0,28.0,134.0,104.0,rrrrrrggggrrrrrrgggg
671.0,3.0,134.0,132.0,rrrrrryyyyrrrrrryyyy
674.0,1.0,5.0,129.0,ggggggrrrrggggggrrrr
675.0,2.0,5.0,130.0,rrrrrrggggrrrrrrgggg
677.0,3.0,5.0,132.0,rrrrrryyyyrrrrrryyyy
680.0,95.0,5.0,0.0,ggggggrrrrggggggrrrr
775.0,3.0,5.0,95.0,yyyyyyrrrryyyyyyrrrr
778.0,6.0,5.0,98.0,rrrrrrrrrrrrrrrrrrrr
784.0,34.0,11.0,98.0,rrrrrrggggrrrrrrgggg
818.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
821.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
916.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
919.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
925.0,22.0,5.0,110.0,rrrrrrggggrrrrrrgggg
947.0,3.0,5.0,132.0,rrrrrryyyyrrrrrryyyy
950.0,95.0,5.0,0.0,ggggggrrrrggggggrrrr
1045.0,3.0,5.0,95.0,yyyyyyrrrryyyyyyrrrr
1048.0,6.0,5.0,98.0,rrrrrrrrrrrrrrrrrrrr
1054.0,26.0,134.0,110.0,rrrrrrggggrrrrrrgggg
1080.0,94.0,134.0,1.0,ggggggrrrrggggggrrrr
1174.0,3.0,134.0,95.0,yyyyyyrrrryyyyyyrrrr
1177.0,6.0,134.0,98.0,rrrrrrrrrrrrrrrrrrrr
1183.0,28.0,134.0,104.0,rrrrrrggggrrrrrrgggg
1211.0,3.0,134.0,132.0,rrrrrryyyyrrrrrryyyy
1214.0,1.0,5.0,129.0,ggggggrrrrggggggrrrr
1215.0,2.0,5.0,130.0,rrrrrrggggrrrrrrgggg
1217.0,3.0,5.0,132.0,rrrrrryyyyrrrrrryyyy
1220.0,95.0,5.0,0.0,ggggggrrrrggggggrrrr
1315.0,3.0,5.0,95.0,yyyyyyrrrryyyyyyrrrr
1318.0,6.0,5.0,98.0,rrrrrrrrrrrrrrrrrrrr
1324.0,34.0,11.0,98.0,rrrrrrggggrrrrrrgggg
1358.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
1361.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
1456.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
1459.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
1465.0,34.0,17.0,98.0,rrrrrrggggrrrrrrgggg
1499.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
1502.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
1597.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
1600.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
1606.0,22.0,11.0,110.0,rrrrrrggggrrrrrrgggg
1628.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
1631.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
1726.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
1729.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
1735.0,22.0,5.0,110.0,rrrrrrggggrrrrrrgggg
1757.0,3.0,5.0,132.0,rrrrrryyyyrrrrrryyyy
1760.0,95.0,5.0,0.0,ggggggrrrrggggggrrrr
1855.0,3.0,5.0,95.0,yyyyyyrrrryyyyyyrrrr
1858.0,6.0,5.0,98.0,rrrrrrrrrrrrrrrrrrrr
1864.0,34.0,11.0,98.0,rrrrrrggggrrrrrrgggg
1898.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
1901.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
1996.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
1999.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
2005.0,34.0,17.0,98.0,rrrrrrggggrrrrrrgggg
2039.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
2042.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
2137.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
2140.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
2146.0,34.0,23.0,98.0,rrrrrrggggrrrrrrgggg
2180.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
2183.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
2278.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
2281.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
2287.0,34.0,29.0,98.0,rrrrrrggggrrrrrrgggg
2321.0,3.0,29.0,132.0,rrrrrryyyyrrrrrryyyy
2324.0,95.0,29.0,0.0,ggggggrrrrggggggrrrr
2419.0,3.0,29.0,95.0,yyyyyyrrrryyyyyyrrrr
2422.0,6.0,29.0,98.0,rrrrrrrrrrrrrrrrrrrr
2428.0,22.0,23.0,110.0,rrrrrrggggrrrrrrgggg
2450.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
2453.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
2548.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
2551.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
2557.0,22.0,17.0,110.0,rrrrrrggggrrrrrrgggg
2579.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
2582.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
2677.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
2680.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
2686.0,22.0,11.0,110.0,rrrrrrggggrrrrrrgggg
2708.0,3.0,11.0,132.0,rrrrrryyyyrrrrrryyyy
2711.0,95.0,11.0,0.0,ggggggrrrrggggggrrrr
2806.0,3.0,11.0,95.0,yyyyyyrrrryyyyyyrrrr
2809.0,6.0,11.0,98.0,rrrrrrrrrrrrrrrrrrrr
2815.0,34.0,17.0,98.0,rrrrrrggggrrrrrrgggg
2849.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
2852.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
2947.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
2950.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
2956.0,34.0,23.0,98.0,rrrrrrggggrrrrrrgggg
2990.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
2993.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
3088.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
3091.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
3097.0,34.0,29.0,98.0,rrrrrrggggrrrrrrgggg
3131.0,3.0,29.0,132.0,rrrrrryyyyrrrrrryyyy
3134.0,95.0,29.0,0.0,ggggggrrrrggggggrrrr
3229.0,3.0,29.0,95.0,yyyyyyrrrryyyyyyrrrr
3232.0,6.0,29.0,98.0,rrrrrrrrrrrrrrrrrrrr
3238.0,2.0,35.0,98.0,rrrrrrggggrrrrrrgggg
3240.0,4.0,35.0,100.0,rrrrrrrrrrrrrrrrrrrr
3244.0,28.0,35.0,104.0,rrrrrrggggrrrrrrgggg
3272.0,3.0,35.0,132.0,rrrrrryyyyrrrrrryyyy
3275.0,95.0,35.0,0.0,ggggggrrrrggggggrrrr
3370.0,3.0,35.0,95.0,yyyyyyrrrryyyyyyrrrr
3373.0,2.0,29.0,104.0,rrrrrrrrrrrrrrrrrrrr
3375.0,26.0,29.0,106.0,rrrrrrggggrrrrrrgggg
3401.0,3.0,29.0,132.0,rrrrrryyyyrrrrrryyyy
3404.0,95.0,29.0,0.0,ggggggrrrrggggggrrrr
3499.0,3.0,29.0,95.0,yyyyyyrrrryyyyyyrrrr
3502.0,6.0,29.0,98.0,rrrrrrrrrrrrrrrrrrrr
3508.0,22.0,23.0,110.0,rrrrrrggggrrrrrrgggg
3530.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
3533.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
3628.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
3631.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
3637.0,34.0,29.0,98.0,rrrrrrggggrrrrrrgggg
3671.0,3.0,29.0,132.0,rrrrrryyyyrrrrrryyyy
3674.0,95.0,29.0,0.0,ggggggrrrrggggggrrrr
3769.0,3.0,29.0,95.0,yyyyyyrrrryyyyyyrrrr
3772.0,6.0,29.0,98.0,rrrrrrrrrrrrrrrrrrrr
3778.0,2.0,35.0,98.0,rrrrrrggggrrrrrrgggg
3780.0,4.0,35.0,100.0,rrrrrrrrrrrrrrrrrrrr
3784.0,28.0,35.0,104.0,rrrrrrggggrrrrrrgggg
3812.0,3.0,35.0,132.0,rrrrrryyyyrrrrrryyyy
3815.0,95.0,35.0,0.0,ggggggrrrrggggggrrrr
3910.0,3.0,35.0,95.0,yyyyyyrrrryyyyyyrrrr
3913.0,2.0,29.0,104.0,rrrrrrrrrrrrrrrrrrrr
3915.0,26.0,29.0,106.0,rrrrrrggggrrrrrrgggg
3941.0,3.0,29.0,132.0,rrrrrryyyyrrrrrryyyy
3944.0,95.0,29.0,0.0,ggggggrrrrggggggrrrr
4039.0,3.0,29.0,95.0,yyyyyyrrrryyyyyyrrrr
4042.0,6.0,29.0,98.0,rrrrrrrrrrrrrrrrrrrr
4048.0,22.0,23.0,110.0,rrrrrrggggrrrrrrgggg
4070.0,3.0,23.0,132.0,rrrrrryyyyrrrrrryyyy
4073.0,95.0,23.0,0.0,ggggggrrrrggggggrrrr
4168.0,3.0,23.0,95.0,yyyyyyrrrryyyyyyrrrr
4171.0,6.0,23.0,98.0,rrrrrrrrrrrrrrrrrrrr
4177.0,22.0,17.0,110.0,rrrrrrggggrrrrrrgggg
4199.0,3.0,17.0,132.0,rrrrrryyyyrrrrrryyyy
4202.0,95.0,17.0,0.0,ggggggrrrrggggggrrrr
4297.0,3.0,17.0,95.0,yyyyyyrrrryyyyyyrrrr
4300.0,6.0,17.0,98.0,rrrrrrrrrrrrrrrrrrrr
