t_start,duration,offset,t_local,state
1.0,22.0,0.0,1.0,rrrrrrrrrrrrggggggrrrrrr
23.0,3.0,0.0,23.0,rrrrrrrrrrrryyyyyyrrrrrr
26.0,40.0,0.0,26.0,rrrrrrggggggrrrrrrgggggg
66.0,3.0,0.0,66.0,rrrrrrggggggrrrrrryyyyyy
69.0,12.0,0.0,69.0,rrrrrrggggggrrrrrrrrrrrr
81.0,3.0,0.0,81.0,rrrrrryyyyyyrrrrrrrrrrrr
84.0,18.0,0.0,84.0,ggggggrrrrrrrrrrrrrrrrrr
102.0,3.0,0.0,102.0,gggggyrrrrrrrrrrrrrrrrrr
105.0,3.0,0.0,105.0,gggggrrrrrrrrrrrrrrrrrrr
108.0,22.0,0.0,108.0,gggggrrrrrrrgggggrrrrrrr
130.0,3.0,0.0,130.0,yyyyyrrrrrrrgggggrrrrrrr
133.0,22.0,0.0,133.0,rrrrrrrrrrrrggggggrrrrrr
155.0,3.0,0.0,20.0,rrrrrrrrrrrryyyyyyrrrrrr
158.0,40.0,0.0,23.0,rrrrrrggggggrrrrrrgggggg
198.0,3.0,0.0,63.0,rrrrrrggggggrrrrrryyyyyy
201.0,12.0,0.0,66.0,rrrrrrggggggrrrrrrrrrrrr
213.0,3.0,0.0,78.0,rrrrrryyyyyyrrrrrrrrrrrr
216.0,18.0,0.0,81.0,ggggggrrrrrrrrrrrrrrrrrr
234.0,3.0,0.0,99.0,gggggyrrrrrrrrrrrrrrrrrr
237.0,3.0,0.0,102.0,gggggrrrrrrrrrrrrrrrrrrr
240.0,22.0,0.0,105.0,gggggrrrrrrrgggggrrrrrrr
262.0,3.0,0.0,127.0,yyyyyrrrrrrrgggggrrrrrrr
265.0,22.0,0.0,130.0,rrrrrrrrrrrrggggggrrrrrr
287.0,3.0,0.0,17.0,rrrrrrrrrrrryyyyyyrrrrrr
290.0,40.0,0.0,20.0,rrrrrrggggggrrrrrrgggggg
330.0,3.0,0.0,60.0,rrrrrrggggggrrrrrryyyyyy
333.0,12.0,0.0,63.0,rrrrrrggggggrrrrrrrrrrrr
345.0,3.0,0.0,75.0,rrrrrryyyyyyrrrrrrrrrrrr
348.0,18.0,0.0,78.0,ggggggrrrrrrrrrrrrrrrrrr
366.0,3.0,0.0,96.0,gggggyrrrrrrrrrrrrrrrrrr
369.0,3.0,0.0,99.0,gggggrrrrrrrrrrrrrrrrrrr
372.0,22.0,0.0,102.0,gggggrrrrrrrgggggrrrrrrr
394.0,3.0,0.0,124.0,yyyyyrrrrrrrgggggrrrrrrr
397.0,22.0,0.0,127.0,rrrrrrrrrrrrggggggrrrrrr
419.0,3.0,0.0,14.0,rrrrrrrrrrrryyyyyyrrrrrr
422.0,40.0,0.0,17.0,rrrrrrggggggrrrrrrgggggg
462.0,3.0,0.0,57.0,rrrrrrggggggrrrrrryyyyyy
465.0,12.0,0.0,60.0,rrrrrrggggggrrrrrrrrrrrr
477.0,3.0,0.0,72.0,rrrrrryyyyyyrrrrrrrrrrrr
480.0,18.0,0.0,75.0,ggggggrrrrrrrrrrrrrrrrrr
498.0,3.0,0.0,93.0,gggggyrrrrrrrrrrrrrrrrrr
501.0,3.0,0.0,96.0,gggggrrrrrrrrrrrrrrrrrrr
504.0,22.0,0.0,99.0,gggggrrrrrrrgggggrrrrrrr
526.0,3.0,0.0,121.0,yyyyyrrrrrrrgggggrrrrrrr
529.0,22.0,0.0,124.0,rrrrrrrrrrrrggggggrrrrrr
551.0,3.0,0.0,11.0,rrrrrrrrrrrryyyyyyrrrrrr
554.0,40.0,0.0,14.0,rrrrrrggggggrrrrrrgggggg
594.0,3.0,0.0,54.0,rrrrrrggggggrrrrrryyyyyy
597.0,12.0,0.0,57.0,rrrrrrggggggrrrrrrrrrrrr
609.0,3.0,0.0,69.0,rrrrrryyyyyyrrrrrrrrrrrr
612.0,18.0,0.0,72.0,ggggggrrrrrrrrrrrrrrrrrr
630.0,3.0,0.0,90.0,gggggyrrrrrrrrrrrrrrrrrr
633.0,3.0,0.0,93.0,gggggrrrrrrrrrrrrrrrrrrr
636.0,22.0,0.0,96.0,gggggrrrrrrrgggggrrrrrrr
658.0,3.0,0.0,118.0,yyyyyrrrrrrrgggggrrrrrrr
661.0,22.0,0.0,121.0,rrrrrrrrrrrrggggggrrrrrr
683.0,3.0,0.0,8.0,rrrrrrrrrrrryyyyyyrrrrrr
686.0,40.0,0.0,11.0,rrrrrrggggggrrrrrrgggggg
726.0,3.0,0.0,51.0,rrrrrrggggggrrrrrryyyyyy
729.0,12.0,0.0,54.0,rrrrrrggggggrrrrrrrrrrrr
741.0,3.0,0.0,66.0,rrrrrryyyyyyrrrrrrrrrrrr
744.0,18.0,0.0,69.0,ggggggrrrrrrrrrrrrrrrrrr
762.0,3.0,0.0,87.0,gggggyrrrrrrrrrrrrrrrrrr
765.0,3.0,0.0,90.0,gggggrrrrrrrrrrrrrrrrrrr
768.0,22.0,0.0,93.0,gggggrrrrrrrgggggrrrrrrr
790.0,3.0,0.0,115.0,yyyyyrrrrrrrgggggrrrrrrr
793.0,22.0,0.0,118.0,rrrrrrrrrrrrggggggrrrrrr
815.0,3.0,0.0,5.0,rrrrrrrrrrrryyyyyyrrrrrr
818.0,40.0,0.0,8.0,rrrrrrggggggrrrrrrgggggg
858.0,3.0,0.0,48.0,rrrrrrggggggrrrrrryyyyyy
861.0,12.0,0.0,51.0,rrrrrrggggggrrrrrrrrrrrr
873.0,3.0,0.0,63.0,rrrrrryyyyyyrrrrrrrrrrrr
876.0,18.0,0.0,66.0,ggggggrrrrrrrrrrrrrrrrrr
894.0,3.0,0.0,84.0,gggggyrrrrrrrrrrrrrrrrrr
897.0,3.0,0.0,87.0,gggggrrrrrrrrrrrrrrrrrrr
900.0,22.0,0.0,90.0,gggggrrrrrrrgggggrrrrrrr
922.0,3.0,0.0,112.0,yyyyyrrrrrrrgggggrrrrrrr
925.0,22.0,0.0,115.0,rrrrrrrrrrrrggggggrrrrrr
947.0,3.0,0.0,2.0,rrrrrrrrrrrryyyyyyrrrrrr
950.0,40.0,0.0,5.0,rrrrrrggggggrrrrrrgggggg
990.0,3.0,0.0,45.0,rrrrrrggggggrrrrrryyyyyy
993.0,12.0,0.0,48.0,rrrrrrggggggrrrrrrrrrrrr
1005.0,3.0,0.0,60.0,rrrrrryyyyyyrrrrrrrrrrrr
1008.0,18.0,0.0,63.0,ggggggrrrrrrrrrrrrrrrrrr
1026.0,3.0,0.0,81.0,gggggyrrrrrrrrrrrrrrrrrr
1029.0,3.0,0.0,84.0,gggggrrrrrrrrrrrrrrrrrrr
1032.0,22.0,0.0,87.0,gggggrrrrrrrgggggrrrrrrr
1054.0,3.0,0.0,109.0,yyyyyrrrrrrrgggggrrrrrrr
1057.0,22.0,0.0,112.0,rrrrrrrrrrrrggggggrrrrrr
1079.0,3.0,0.0,134.0,rrrrrrrrrrrryyyyyyrrrrrr
1082.0,40.0,0.0,2.0,rrrrrrggggggrrrrrrgggggg
1122.0,3.0,0.0,42.0,rrrrrrggggggrrrrrryyyyyy
1125.0,12.0,0.0,45.0,rrrrrrggggggrrrrrrrrrrrr
1137.0,3.0,0.0,57.0,rrrrrryyyyyyrrrrrrrrrrrr
1140.0,18.0,0.0,60.0,ggggggrrrrrrrrrrrrrrrrrr
1158.0,3.0,0.0,78.0,gggggyrrrrrrrrrrrrrrrrrr
1161.0,3.0,0.0,81.0,gggggrrrrrrrrrrrrrrrrrrr
1164.0,22.0,0.0,84.0,gggggrrrrrrrgggggrrrrrrr
1186.0,3.0,0.0,106.0,yyyyyrrrrrrrgggggrrrrrrr
1189.0,22.0,0.0,109.0,rrrrrrrrrrrrggggggrrrrrr
1211.0,3.0,0.0,131.0,rrrrrrrrrrrryyyyyyrrrrrr
1214.0,40.0,0.0,134.0,rrrrrrggggggrrrrrrgggggg
1254.0,3.0,0.0,39.0,rrrrrrggggggrrrrrryyyyyy
1257.0,12.0,0.0,42.0,rrrrrrggggggrrrrrrrrrrrr
1269.0,3.0,0.0,54.0,rrrrrryyyyyyrrrrrrrrrrrr
1272.0,18.0,0.0,57.0,ggggggrrrrrrrrrrrrrrrrrr
1290.0,3.0,0.0,75.0,gggggyrrrrrrrrrrrrrrrrrr
1293.0,3.0,0.0,78.0,gggggrrrrrrrrrrrrrrrrrrr
1296.0,22.0,0.0,81.0,gggggrrrrrrrgggggrrrrrrr
1318.0,3.0,0.0,103.0,yyyyyrrrrrrrgggggrrrrrrr
1321.0,22.0,0.0,106.0,rrrrrrrrrrrrggggggrrrrrr
1343.0,3.0,0.0,128.0,rrrrrrrrrrrryyyyyyrrrrrr
1346.0,40.0,0.0,131.0,rrrrrrggggggrrrrrrgggggg
1386.0,3.0,0.0,36.0,rrrrrrggggggrrrrrryyyyyy
1389.0,12.0,0.0,39.0,rrrrrrggggggrrrrrrrrrrrr
1401.0,3.0,0.0,51.0,rrrrrryyyyyyrrrrrrrrrrrr
1404.0,18.0,0.0,54.0,ggggggrrrrrrrrrrrrrrrrrr
1422.0,3.0,0.0,72.0,gggggyrrrrrrrrrrrrrrrrrr
1425.0,3.0,0.0,75.0,gggggrrrrrrrrrrrrrrrrrrr
1428.0,22.0,0.0,78.0,gggggrrrrrrrgggggrrrrrrr
1450.0,3.0,0.0,100.0,yyyyyrrrrrrrgggggrrrrrrr
1453.0,22.0,0.0,103.0,rrrrrrrrrrrrggggggrrrrrr
1475.0,3.0,0.0,125.0,rrrrrrrrrrrryyyyyyrrrrrr
1478.0,40.0,0.0,128.0,rrrrrrggggggrrrrrrgggggg
1518.0,3.0,0.0,33.0,rrrrrrggggggrrrrrryyyyyy
1521.0,12.0,0.0,36.0,rrrrrrggggggrrrrrrrrrrrr
1533.0,3.0,0.0,48.0,rrrrrryyyyyyrrrrrrrrrrrr
1536.0,18.0,0.0,51.0,ggggggrrrrrrrrrrrrrrrrrr
1554.0,3.0,0.0,69.0,gggggyrrrrrrrrrrrrrrrrrr
1557.0,3.0,0.0,72.0,gggggrrrrrrrrrrrrrrrrrrr
1560.0,22.0,0.0,75.0,gggggrrrrrrrgggggrrrrrrr
1582.0,3.0,0.0,97.0,yyyyyrrrrrrrgggggrrrrrrr
1585.0,22.0,0.0,100.0,rrrrrrrrrrrrggggggrrrrrr
1607.0,3.0,0.0,122.0,rrrrrrrrrrrryyyyyyrrrrrr
1610.0,40.0,0.0,125.0,rrrrrrggggggrrrrrrgggggg
1650.0,3.0,0.0,30.0,rrrrrrggggggrrrrrryyyyyy
1653.0,12.0,0.0,33.0,rrrrrrggggggrrrrrrrrrrrr
1665.0,3.0,0.0,45.0,rrrrrryyyyyyrrrrrrrrrrrr
1668.0,18.0,0.0,48.0,ggggggrrrrrrrrrrrrrrrrrr
1686.0,3.0,0.0,66.0,gggggyrrrrrrrrrrrrrrrrrr
1689.0,3.0,0.0,69.0,gggggrrrrrrrrrrrrrrrrrrr
1692.0,22.0,0.0,72.0,gggggrrrrrrrgggggrrrrrrr
1714.0,3.0,0.0,94.0,yyyyyrrrrrrrgggggrrrrrrr
1717.0,22.0,0.0,97.0,rrrrrrrrrrrrggggggrrrrrr
1739.0,3.0,0.0,119.0,rrrrrrrrrrrryyyyyyrrrrrr
1742.0,40.0,0.0,122.0,rrrrrrggggggrrrrrrgggggg
1782.0,3.0,0.0,27.0,rrrrrrggggggrrrrrryyyyyy
1785.0,12.0,0.0,30.0,rrrrrrggggggrrrrrrrrrrrr
1797.0,3.0,0.0,42.0,rrrrrryyyyyyrrrrrrrrrrrr
1800.0,18.0,0.0,45.0,ggggggrrrrrrrrrrrrrrrrrr
1818.0,3.0,0.0,63.0,gggggyrrrrrrrrrrrrrrrrrr
1821.0,3.0,0.0,66.0,gggggrrrrrrrrrrrrrrrrrrr
1824.0,22.0,0.0,69.0,gggggrrrrrrrgggggrrrrrrr
1846.0,3.0,0.0,91.0,yyyyyrrrrrrrgggggrrrrrrr
1849.0,22.0,0.0,94.0,rrrrrrrrrrrrggggggrrrrrr
1871.0,3.0,0.0,116.0,rrrrrrrrrrrryyyyyyrrrrrr
1874.0,40.0,0.0,119.0,rrrrrrggggggrrrrrrgggggg
1914.0,3.0,0.0,24.0,rrrrrrggggggrrrrrryyyyyy
1917.0,12.0,0.0,27.0,rrrrrrggggggrrrrrrrrrrrr
1929.0,3.0,0.0,39.0,rrrrrryyyyyyrrrrrrrrrrrr
1932.0,18.0,0.0,42.0,ggggggrrrrrrrrrrrrrrrrrr
1950.0,3.0,0.0,60.0,gggggyrrrrrrrrrrrrrrrrrr
1953.0,3.0,0.0,63.0,gggggrrrrrrrrrrrrrrrrrrr
1956.0,22.0,0.0,66.0,gggggrrrrrrrgggggrrrrrrr
1978.0,3.0,0.0,88.0,yyyyyrrrrrrrgggggrrrrrrr
1981.0,22.0,0.0,91.0,rrrrrrrrrrrrggggggrrrrrr
2003.0,3.0,0.0,113.0,rrrrrrrrrrrryyyyyyrrrrrr
2006.0,40.0,0.0,116.0,rrrrrrggggggrrrrrrgggggg
2046.0,3.0,0.0,21.0,rrrrrrggggggrrrrrryyyyyy
2049.0,12.0,0.0,24.0,rrrrrrggggggrrrrrrrrrrrr
2061.0,3.0,0.0,36.0,rrrrrryyyyyyrrrrrrrrrrrr
2064.0,18.0,0.0,39.0,ggggggrrrrrrrrrrrrrrrrrr
2082.0,3.0,0.0,57.0,gggggyrrrrrrrrrrrrrrrrrr
2085.0,3.0,0.0,60.0,gggggrrrrrrrrrrrrrrrrrrr
2088.0,22.0,0.0,63.0,gggggrrrrrrrgggggrrrrrrr
2110.0,3.0,0.0,85.0,yyyyyrrrrrrrgggggrrrrrrr
2113.0,22.0,0.0,88.0,rrrrrrrrrrrrggggggrrrrrr
2135.0,3.0,0.0,110.0,rrrrrrrrrrrryyyyyyrrrrrr
2138.0,40.0,0.0,113.0,rrrrrrggggggrrrrrrgggggg
2178.0,3.0,0.0,18.0,rrrrrrggggggrrrrrryyyyyy
2181.0,12.0,0.0,21.0,rrrrrrggggggrrrrrrrrrrrr
2193.0,3.0,0.0,33.0,rrrrrryyyyyyrrrrrrrrrrrr
2196.0,18.0,0.0,36.0,ggggggrrrrrrrrrrrrrrrrrr
2214.0,3.0,0.0,54.0,gggggyrrrrrrrrrrrrrrrrrr
2217.0,3.0,0.0,57.0,gggggrrrrrrrrrrrrrrrrrrr
2220.0,22.0,0.0,60.0,gggggrrrrrrrgggggrrrrrrr
2242.0,3.0,0.0,82.0,yyyyyrrrrrrrgggggrrrrrrr
2245.0,22.0,0.0,85.0,rrrrrrrrrrrrggggggrrrrrr
2267.0,3.0,0.0,107.0,rrrrrrrrrrrryyyyyyrrrrrr
2270.0,40.0,0.0,110.0,rrrrrrggggggrrrrrrgggggg
2310.0,3.0,0.0,15.0,rrrrrrggggggrrrrrryyyyyy
2313.0,12.0,0.0,18.0,rrrrrrggggggrrrrrrrrrrrr
2325.0,3.0,0.0,30.0,rrrrrryyyyyyrrrrrrrrrrrr
2328.0,18.0,0.0,33.0,ggggggrrrrrrrrrrrrrrrrrr
2346.0,3.0,0.0,51.0,gggggyrrrrrrrrrrrrrrrrrr
2349.0,3.0,0.0,54.0,gggggrrrrrrrrrrrrrrrrrrr
2352.0,22.0,0.0,57.0,gggggrrrrrrrgggggrrrrrrr
2374.0,3.0,0.0,79.0,yyyyyrrrrrrrgggggrrrrrrr
2377.0,22.0,0.0,82.0,rrrrrrrrrrrrggggggrrrrrr
2399.0,3.0,0.0,104.0,rrrrrrrrrrrryyyyyyrrrrrr
2402.0,40.0,0.0,107.0,rrrrrrggggggrrrrrrgggggg
2442.0,3.0,0.0,12.0,rrrrrrggggggrrrrrryyyyyy
2445.0,12.0,0.0,15.0,rrrrrrggggggrrrrrrrrrrrr
2457.0,3.0,0.0,27.0,rrrrrryyyyyyrrrrrrrrrrrr
2460.0,18.0,0.0,30.0,ggggggrrrrrrrrrrrrrrrrrr
2478.0,3.0,0.0,48.0,gggggyrrrrrrrrrrrrrrrrrr
2481.0,3.0,0.0,51.0,gggggrrrrrrrrrrrrrrrrrrr
2484.0,22.0,0.0,54.0,gggggrrrrrrrgggggrrrrrrr
2506.0,3.0,0.0,76.0,yyyyyrrrrrrrgggggrrrrrrr
2509.0,22.0,0.0,79.0,rrrrrrrrrrrrggggggrrrrrr
2531.0,3.0,0.0,101.0,rrrrrrrrrrrryyyyyyrrrrrr
2534.0,40.0,0.0,104.0,rrrrrrggggggrrrrrrgggggg
2574.0,3.0,0.0,9.0,rrrrrrggggggrrrrrryyyyyy
2577.0,12.0,0.0,12.0,rrrrrrggggggrrrrrrrrrrrr
2589.0,3.0,0.0,24.0,rrrrrryyyyyyrrrrrrrrrrrr
2592.0,18.0,0.0,27.0,ggggggrrrrrrrrrrrrrrrrrr
2610.0,3.0,0.0,45.0,gggggyrrrrrrrrrrrrrrrrrr
2613.0,3.0,0.0,48.0,gggggrrrrrrrrrrrrrrrrrrr
2616.0,22.0,0.0,51.0,gggggrrrrrrrgggggrrrrrrr
2638.0,3.0,0.0,73.0,yyyyyrrrrrrrgggggrrrrrrr
2641.0,22.0,0.0,76.0,rrrrrrrrrrrrggggggrrrrrr
