t_start,duration,offset,t_local,state
1.0,15.0,47.0,89.0,ggggggrrrrrrrrrrrrrrrrrr
16.0,3.0,47.0,104.0,gggggyrrrrrrrrrrrrrrrrrr
19.0,3.0,47.0,107.0,gggggrrrrrrrrrrrrrrrrrrr
22.0,22.0,47.0,110.0,gggggrrrrrrrgggggrrrrrrr
44.0,3.0,47.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
47.0,22.0,47.0,0.0,rrrrrrrrrrrrggggggrrrrrr
69.0,3.0,47.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
72.0,40.0,47.0,25.0,rrrrrrggggggrrrrrrgggggg
112.0,3.0,47.0,65.0,rrrrrrggggggrrrrrryyyyyy
115.0,12.0,47.0,68.0,rrrrrrggggggrrrrrrrrrrrr
127.0,3.0,47.0,80.0,rrrrrryyyyyyrrrrrrrrrrrr
130.0,23.0,49.0,81.0,ggggggrrrrrrrrrrrrrrrrrr
153.0,3.0,49.0,104.0,gggggyrrrrrrrrrrrrrrrrrr
156.0,3.0,49.0,107.0,gggggrrrrrrrrrrrrrrrrrrr
159.0,22.0,49.0,110.0,gggggrrrrrrrgggggrrrrrrr
181.0,3.0,49.0,132.0,yyyyyrrrrrrrgggggrrrrrrr
184.0,22.0,49.0,0.0,rrrrrrrrrrrrggggggrrrrrr
206.0,3.0,49.0,22.0,rrrrrrrrrrrryyyyyyrrrrrr
209.0,40.0,49.0,25.0,rrrrrrggggggrrrrrrgggggg
249.0,3.0,49.0,65.0,rrrrrrggggggrrrrrryyyyyy
252.0,12.0,49.0,68.0,rrrrrrggggggrrrrrrrrrrrr
264.0,3.0,49.0,80.0,rrrrrryyyyyyrrrrrrrrrrrr
267.0,23.0,50.768044292612785,81.23195570738721,ggggggrrrrrrrrrrrrrrrrrr
290.0,3.0,50.768044292612785,104.23195570738721,gggggyrrrrrrrrrrrrrrrrrr
293.0,3.0,50.768044292612785,107.23195570738721,gggggrrrrrrrrrrrrrrrrrrr
296.0,22.0,50.768044292612785,110.23195570738721,gggggrrrrrrrgggggrrrrrrr
318.0,3.0,50.768044292612785,132.23195570738721,yyyyyrrrrrrrgggggrrrrrrr
321.0,22.0,50.768044292612785,0.23195570738721472,rrrrrrrrrrrrggggggrrrrrr
343.0,3.0,50.768044292612785,22.231955707387215,rrrrrrrrrrrryyyyyyrrrrrr
346.0,40.0,50.768044292612785,25.231955707387215,rrrrrrggggggrrrrrrgggggg
386.0,3.0,50.768044292612785,65.23195570738721,rrrrrrggggggrrrrrryyyyyy
389.0,12.0,50.768044292612785,68.23195570738721,rrrrrrggggggrrrrrrrrrrrr
401.0,3.0,50.768044292612785,80.23195570738721,rrrrrryyyyyyrrrrrrrrrrrr
404.0,21.0,50.768044292612785,83.23195570738721,ggggggrrrrrrrrrrrrrrrrrr
425.0,3.0,50.768044292612785,104.23195570738721,gggggyrrrrrrrrrrrrrrrrrr
428.0,3.0,50.768044292612785,107.23195570738721,gggggrrrrrrrrrrrrrrrrrrr
431.0,22.0,50.768044292612785,110.23195570738721,gggggrrrrrrrgggggrrrrrrr
453.0,3.0,50.768044292612785,132.23195570738721,yyyyyrrrrrrrgggggrrrrrrr
456.0,22.0,50.768044292612785,0.23195570738721472,rrrrrrrrrrrrggggggrrrrrr
478.0,3.0,50.768044292612785,22.231955707387215,rrrrrrrrrrrryyyyyyrrrrrr
481.0,40.0,50.768044292612785,25.231955707387215,rrrrrrggggggrrrrrrgggggg
521.0,3.0,50.768044292612785,65.23195570738721,rrrrrrggggggrrrrrryyyyyy
524.0,12.0,50.768044292612785,68.23195570738721,rrrrrrggggggrrrrrrrrrrrr
536.0,3.0,50.768044292612785,80.23195570738721,rrrrrryyyyyyrrrrrrrrrrrr
539.0,21.0,50.768044292612785,83.23195570738721,ggggggrrrrrrrrrrrrrrrrrr
560.0,3.0,50.768044292612785,104.23195570738721,gggggyrrrrrrrrrrrrrrrrrr
563.0,3.0,50.768044292612785,107.23195570738721,gggggrrrrrrrrrrrrrrrrrrr
566.0,22.0,50.768044292612785,110.23195570738721,gggggrrrrrrrgggggrrrrrrr
588.0,3.0,50.768044292612785,132.23195570738721,yyyyyrrrrrrrgggggrrrrrrr
591.0,22.0,50.768044292612785,0.23195570738721472,rrrrrrrrrrrrggggggrrrrrr
613.0,3.0,50.768044292612785,22.231955707387215,rrrrrrrrrrrryyyyyyrrrrrr
616.0,40.0,50.768044292612785,25.231955707387215,rrrrrrggggggrrrrrrgggggg
656.0,3.0,50.768044292612785,65.23195570738721,rrrrrrggggggrrrrrryyyyyy
659.0,12.0,50.768044292612785,68.23195570738721,rrrrrrggggggrrrrrrrrrrrr
671.0,3.0,50.768044292612785,80.23195570738721,rrrrrryyyyyyrrrrrrrrrrrr
674.0,22.0,51.037327414083904,82.96267258591615,ggggggrrrrrrrrrrrrrrrrrr
696.0,3.0,51.037327414083904,104.96267258591615,gggggyrrrrrrrrrrrrrrrrrr
699.0,3.0,51.037327414083904,107.96267258591615,gggggrrrrrrrrrrrrrrrrrrr
702.0,22.0,51.037327414083904,110.96267258591615,gggggrrrrrrrgggggrrrrrrr
724.0,3.0,51.037327414083904,132.96267258591615,yyyyyrrrrrrrgggggrrrrrrr
727.0,22.0,51.037327414083904,0.9626725859161525,rrrrrrrrrrrrggggggrrrrrr
749.0,3.0,51.037327414083904,22.962672585916152,rrrrrrrrrrrryyyyyyrrrrrr
