t_start,duration,offset,t_local,state
1.0,54.0,0.0,1.0,ggggrrrrrrggggrrrrrrr
55.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
58.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
79.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
82.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
107.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
110.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
132.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
135.0,60.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
195.0,3.0,0.0,60.0,yyyyrrrrrrggggrrrrrrr
198.0,21.0,0.0,63.0,rrrrrrrrrrggggggrrrrr
219.0,3.0,0.0,84.0,rrrrrrrrrrgyyyyyrrrrr
222.0,20.0,0.0,87.0,rrrrrrgggggrrrrrggggg
242.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
245.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
267.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
270.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
332.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
335.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
356.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
359.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
377.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
380.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
402.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
405.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
467.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
470.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
491.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
494.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
512.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
515.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
537.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
540.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
602.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
605.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
626.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
629.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
647.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
650.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
672.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
675.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
737.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
740.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
761.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
764.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
782.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
785.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
807.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
810.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
872.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
875.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
896.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
899.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
917.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
920.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
942.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
945.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1007.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1010.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1031.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1034.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1052.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1055.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1077.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1080.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1142.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1145.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1166.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1169.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1187.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1190.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1212.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1215.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1277.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1280.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1301.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1304.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1322.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1325.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1347.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1350.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1412.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1415.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1436.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1439.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1457.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1460.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1482.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1485.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1547.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1550.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1571.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1574.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1592.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1595.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1617.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1620.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1682.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1685.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1706.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1709.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1727.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1730.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1752.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1755.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1817.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1820.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1841.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1844.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1862.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1865.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1887.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1890.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1952.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
1955.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
1976.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
1979.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
1997.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2000.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2022.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2025.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2087.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2090.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2111.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2114.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2132.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2135.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2157.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2160.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2222.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2225.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2246.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2249.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2267.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2270.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2292.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2295.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2357.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2360.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2381.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2384.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2402.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2405.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2427.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2430.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2492.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2495.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2516.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2519.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2537.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2540.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2562.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2565.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2627.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2630.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2651.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2654.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2672.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2675.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2697.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2700.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2762.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2765.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2786.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2789.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2807.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2810.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2832.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2835.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2897.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
2900.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
2921.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
2924.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
2942.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2945.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2967.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2970.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3032.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3035.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3056.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3059.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3077.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3080.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3102.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3105.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3167.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3170.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3191.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3194.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3212.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3215.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3237.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3240.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3302.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3305.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3326.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3329.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3347.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3350.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3372.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3375.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3437.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3440.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3461.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3464.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3482.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3485.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3507.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3510.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3572.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3575.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3596.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3599.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3617.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3620.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3642.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3645.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3707.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3710.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3731.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3734.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3752.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3755.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3777.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3780.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3842.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3845.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
3866.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
3869.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
3887.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3890.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3912.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3915.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3977.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
3980.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
4001.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
4004.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
4022.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
4025.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
4047.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
4050.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
4112.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
4115.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
4136.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
4139.0,18.0,0.0,89.0,rrrrrrgggggrrrrrggggg
4157.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
4160.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
4182.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
4185.0,62.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
4247.0,3.0,0.0,62.0,yyyyrrrrrrggggrrrrrrr
4250.0,21.0,0.0,65.0,rrrrrrrrrrggggggrrrrr
4271.0,3.0,0.0,86.0,rrrrrrrrrrgyyyyyrrrrr
